61,최애의 아이 6 ,"아카사카 아카 (지은이), 요코야리 멘고 (그림) ", 대원씨아이(만화) , 2022년 4월,"6,000원 → 5,400원 (10%할인)"
62,별똥별이 떨어지는 그곳에서 기다려 시즌 2: 2  ,만물상 (지은이) , 재미주의 , 2022년 5월,"15,000원 → 13,500원 (10%할인)"
63,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈  ",최태성 (지은이) , 이투스북 , 2021년 12월,"15,000원 → 13,500원 (10%할인)"
64,SQL 자격검정 실전문제 ,한국데이터산업진흥원 (지은이) , 한국데이터산업진흥원 , 2020년 5월,"18,000원 → 18,000원"
65,운명을 바꾸는 부동산 투자 수업 : 실전편 ㅣ 운명을 바꾸는 부동산 투자 수업  ,부동산읽어주는남자(정태익) (지은이) , 리더스북 , 2022년 3월,"16,800원 → 15,120원 (10%할인)"
66,마음의 법칙 ,"폴커 키츠, 마누엘 투쉬 (지은이), 김희상 (옮긴이) ", 포레스트북스 , 2022년 2월,"16,000원 → 14,400원 (10%할인)"
67,두근두근 편의점 ㅣ 그림책이 참 좋아 88 ,김영진 (지은이) , 책읽는곰 , 2022년 4월,"14,000원 → 12,600원 (10%할인)"
68,이웃집 백만장자 변하지 않는 부의 법칙 ,"토머스 J. 스탠리, 세라 스탠리 팰로 (지은이), 김미정 (옮긴이) ", 비즈니스북스 , 2019년 12월,"16,800원 → 15,120원 (10%할인)"
69,내가 같이 뛰어내려 줄게 ,씨씨코 (지은이) , 다산북스 , 2022년 3월,"16,000원 → 14,400원 (10%할인)"
70,너의 하늘을 보아  ,박노해 (지은이) , 느린걸음 , 2022년 5월,"19,500원 → 17,550원 (10%할인)"
71,143층 나무 집 ㅣ 456 Book 클럽  ,"앤디 그리피스 (지은이), 테리 덴톤 (그림), 신수진 (옮긴이) ", 시공주니어 , 2022년 3월,"12,000원 → 10,800원 (10%할인)"
72,내 아이를 위한 30일 인문학 글쓰기의 기적 ,김종원 (지은이) , 상상아카데미 , 2022년 4월,"16,000원 → 14,400원 (10%할인)"
73,도쿄 에일리언즈 2 ,"NAOE (지은이), 박소현 (옮긴이) ", 서울미디어코믹스(서울문화사) , 2022년 4월,"5,000원 → 4,500원 (10%할인)"
74,가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 1 ,"SUN SUN SUN (지은이), 모모코 (그림), 이승원 (옮긴이) ", 디앤씨미디어(주)(D&C미디어) , 2022년 5월,"7,800원 → 7,020원 (10%할인)"
75,경제기사 궁금증 300문 300답 ㅣ 300문 300답  ,곽해선 (지은이) , 혜다 , 2021년 11월,"22,000원 → 19,800원 (10%할인)"
76,얼굴만으론 좋아할 수 없어요 3 ,"안자이 카린 (지은이), 이소연 (옮긴이) ", 서울미디어코믹스(서울문화사) , 2022년 4월,"5,500원 → 4,950원 (10%할인)"
77,오은영의 화해 (리커버) ,오은영 (지은이) , 코리아닷컴(Korea.com) , 2019년 1월,"16,000원 → 14,400원 (10%할인)"
78,"어서 오세요, 휴남동 서점입니다 ",황보름 (지은이) , 클레이하우스 , 2022년 1월,"15,000원 → 13,500원 (10%할인)"
79,2022 ADsP 데이터 분석 준전문가 ,윤종식 (지은이) , 데이터에듀 , 2022년 1월,"28,000원 → 25,200원 (10%할인)"
80,수상한 중고상점 ,"미치오 슈스케 (지은이), 김은모 (옮긴이) ", 놀 , 2022년 4월,"15,000원 → 13,500원 (10%할인)"
81,2022 유휘운 행정법총론 사례형 풀어주는 기출문제집 ,유휘운 (지은이) , 메가스터디교육(공무원) , 2022년 5월,"9,000원 → 8,100원 (10%할인)"
82,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하 ㅣ 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 시리즈  ",최태성 (지은이) , 이투스북 , 2021년 12월,"14,500원 → 13,050원 (10%할인)"
83,"아무튼, 노래 ㅣ 아무튼 시리즈 49 ",이슬아 (지은이) , 위고 , 2022년 4월,"12,000원 → 10,800원 (10%할인)"
84,똥볶이 할멈 3 ㅣ 똥볶이 할멈 3 ,"강효미 (지은이), 김무연 (그림) ", 슈크림북 , 2022년 5월,"12,500원 → 11,250원 (10%할인)"
85,2022 써니 행정법총론 실전동형 모의고사 - 전2권 ,박준철 (지은이) , 지금(도서출판) , 2022년 3월,"10,000원 → 9,000원 (10%할인)"
86,지구가 죽으면 달은 누굴 돌지? ㅣ 문학과지성 시인선 567  ,김혜순 (지은이) , 문학과지성사 , 2022년 4월,"9,000원 → 8,100원 (10%할인)"
87,부자 아빠 가난한 아빠 1 (20주년 특별 기념판)  ,"로버트 기요사키 (지은이), 안진환 (옮긴이) ", 민음인 , 2018년 2월,"15,800원 → 14,220원 (10%할인)"
88,명탐정 코난 : 저스티스 플러스 SDB JUSTICE PLUS ,아오야마 고쇼 (지은이) , 서울미디어코믹스(서울문화사) , 2022년 4월,"9,000원 → 8,100원 (10%할인)"
89,하트 오브 비즈니스 ,"위베르 졸리, 캐롤라인 램버트 (지은이), 엄성수 (옮긴이) ", 상상스퀘어 , 2022년 4월,"17,800원 → 16,020원 (10%할인)"
90,디즈니 기묘한 소원 1 : 새로운 친구들 ㅣ 디즈니 기묘한 소원 1 ,"베라 스트레인지 (지은이), 김미선 (옮긴이) ", 라곰 , 2022년 5월,"13,000원 → 11,700원 (10%할인)"
91,"타시로, 너란 녀석은 2 ","야마다 (지은이), 오하라 (옮긴이) ", 서울미디어코믹스(서울문화사) , 2022년 4월,"5,500원 → 4,950원 (10%할인)"
92,원피스 101  ,오다 에이치로 (지은이) , 대원씨아이(만화) , 2022년 3월,"5,500원 → 4,950원 (10%할인)"
93,테라피스트 ,"B. A. 패리스 (지은이), 박설영 (옮긴이) ", 모모 , 2021년 12월,"16,000원 → 14,400원 (10%할인)"
94,가불 선진국 ,조국 (지은이) , 메디치미디어 , 2022년 3월,"16,000원 → 14,400원 (10%할인)"
95,그림들  ,SUN 도슨트 (지은이) , 나무의마음 , 2022년 3월,"19,800원 → 17,820원 (10%할인)"
96,"외식보다 맛있는 집밥, 명랑쌤 비법 한 그릇 밥과 면 ㅣ 명랑쌤 레시피   ",명랑쌤(이혜원) (지은이) , 레시피팩토리 , 2022년 4월,"14,800원 → 13,320원 (10%할인)"
97,일하면서 성장하고 있습니다  ,박소연 (지은이) , 더퀘스트 , 2022년 4월,"17,000원 → 15,300원 (10%할인)"
98,백광 ,"렌조 미키히코 (지은이), 양윤옥 (옮긴이) ", 모모 , 2022년 2월,"14,500원 → 13,050원 (10%할인)"
99,쓰고 싶다 쓰고 싶지 않다 ,"전고운, 이석원, 이다혜, 이랑, 박정민, 김종관, 백세희, 한은형, 임대형 (지은이) ", 유선사 , 2022년 4월,"15,000원 → 13,500원 (10%할인)"
100,기분을 관리하면 인생이 관리된다 ,김다슬 (지은이) , 클라우디아 , 2022년 4월,"17,600원 → 15,840원 (10%할인)"
101,10배의 법칙  ,"그랜트 카돈 (지은이), 최은아 (옮긴이) ", 부키 , 2022년 3월,"16,800원 → 15,120원 (10%할인)"
102,지구 끝의 온실  ,김초엽 (지은이) , 자이언트북스 , 2021년 8월,"15,000원 → 13,500원 (10%할인)"
103,2022 해커스 GSAT 삼성직무적성검사 실전모의고사 7회분 (수리논리/추리) ,해커스 취업교육연구소 (지은이) , 챔프스터디 , 2022년 1월,"17,900원 → 16,110원 (10%할인)"
104,밝은 밤  ,최은영 (지은이) , 문학동네 , 2021년 7월,"14,500원 → 13,050원 (10%할인)"
105,여름이 온다 ㅣ 비룡소의 그림동화 297  ,이수지 (지은이) , 비룡소 , 2021년 7월,"27,000원 → 24,300원 (10%할인)"
106,보도 섀퍼의 이기는 습관  ,"보도 섀퍼 (지은이), 박성원 (옮긴이) ", 토네이도 , 2022년 3월,"17,000원 → 15,300원 (10%할인)"
107,"아빠, 나 이 결혼 안 할래요 1 (아크릴 스탠드 + 스티커 2장 + 포토카드 1종 + 타로카드 1종 + 엽서 2종 포함 한정판) ","Roal (지은이), 홍희수 (원작), 유리 (각색) ", 씨엔씨레볼루션 , 2022년 4월,"30,000원 → 27,000원 (10%할인)"
108,"아빠, 나 이 결혼 안 할래요 2 (아크릴 스탠드 + 스티커 2장 + 포토카드 1종 + 타로카드 1종 + 엽서 2종 포함 한정판) ","Roal (지은이), 홍희수 (원작), 유리 (각색) ", 씨엔씨레볼루션 , 2022년 4월,"30,000원 → 27,000원 (10%할인)"
109,돈의 심리학 (10만 부 기념 골드 에디션) ,"모건 하우절 (지은이), 이지연 (옮긴이) ", 인플루엔셜(주) , 2021년 1월,"19,800원 → 17,820원 (10%할인)"
110,그리스 로마 신화 28 : 트로이아 여인들의 비극 ㅣ 만화로 읽는 초등 인문학  ,"박시연 (지은이), 최우빈 (그림), 김헌 (감수) ", 아울북 , 2022년 5월,"14,000원 → 12,600원 (10%할인)"
111,2022 심우철 실전동형 모의고사 Season 3 ㅣ 2022 심우철 실전동형 모의고사  ,심우철 (지은이) , 심슨북스 , 2022년 4월,"16,000원 → 14,400원 (10%할인)"
112,어떻게 물리학을 사랑하지 않을 수 있을까? ,"짐 알칼릴리 (지은이), 김성훈 (옮긴이) ", 윌북 , 2022년 5월,"17,800원 → 16,020원 (10%할인)"
113,법 만드는 아이들 ㅣ 아이들 시리즈  ,"옥효진 (지은이), 김미연 (그림) ", 한국경제신문 , 2022년 4월,"14,000원 → 12,600원 (10%할인)"
114,아야카시 트라이앵글 3 ,"야부키 켄타로 (지은이), 도영명 (옮긴이) ", 서울미디어코믹스(서울문화사) , 2022년 4월,"5,500원 → 4,950원 (10%할인)"
115,베르세르크 41 ,미우라 켄타로 (지은이) , 대원씨아이(만화) , 2022년 4월,"6,000원 → 5,400원 (10%할인)"
116,도쿄 에일리언즈 1 ,"NAOE (지은이), 박소현 (옮긴이) ", 서울미디어코믹스(서울문화사) , 2022년 2월,"5,000원 → 4,500원 (10%할인)"
117,나츠메 우인장 27 ,"미도리카와 유키 (지은이), 서현아 (옮긴이) ", 학산문화사(만화) , 2022년 4월,"6,000원 → 5,400원 (10%할인)"
118,오거와 고아들 ,"켈리 반힐 (지은이), 이민희 (옮긴이) ", 양철북 , 2022년 4월,"16,500원 → 14,850원 (10%할인)"
119,나의 아저씨 1~2 세트 - 전2권 ㅣ 인생드라마 작품집 시리즈  ,박해영 (지은이) , 세계사 , 2022년 3월,"49,600원 → 44,640원 (10%할인)"
120,이것은 작은 브랜드를 위한 책 ,이근상 (지은이) , 몽스북 , 2021년 12월,"15,800원 → 14,220원 (10%할인)"
